"state","county","division","mountain","province","section","subregion_code","predominant_area_percent","source_page"
36,61,221,1,221,4,122104,100,64
36,63,222,1,222,9,122209,100,64
36,65,212,1,212,6,121206,72.8,64
36,67,212,1,212,6,121206,73.1,64
36,69,222,1,222,9,122209,56,64
36,71,221,1,221,2,122102,83.9,64
36,73,222,1,222,9,122209,100,64
36,75,222,1,222,9,122209,90,64
36,77,212,1,212,6,121206,100,64
36,79,221,1,221,1,122101,100,64
36,81,221,1,221,1,122101,100,64
36,83,221,1,221,2,122102,55.7,64
36,85,221,1,221,4,122104,100,64
36,87,221,1,221,1,122101,89.8,64
36,89,212,1,212,5,121205,58.2,64
36,91,221,1,221,2,122102,60.3,64
36,93,221,1,221,2,122102,53.5,64
36,95,212,1,212,6,121206,68.8,64
36,97,212,1,212,6,121206,100,64
36,99,222,1,222,9,122209,59.8,64
36,101,212,1,212,6,121206,100,64
36,103,221,1,221,1,122101,100,64
36,105,212,1,212,6,121206,56.2,64
36,107,212,1,212,6,121206,100,64
36,109,212,1,212,6,121206,100,64
36,111,221,1,221,2,122102,53.4,64
36,113,1212,2,212,4,221204,96,64
36,115,221,1,221,2,122102,63.9,64
36,117,222,1,222,9,122209,100,64
36,119,221,1,221,1,122101,80.4,64
36,121,212,1,212,6,121206,85.2,64
36,123,212,1,212,6,121206,100,64
37,1,231,1,231,1,123101,100,64
37,3,231,1,231,1,123101,96.5,64
37,5,1221,2,221,4,222104,100,64
37,7,231,1,231,1,123101,100,64
37,9,1221,2,221,4,222104,99.8,64
37,11,1221,2,221,4,222104,100,64
37,13,232,1,232,3,123203,100,64
37,15,232,1,232,1,123201,56,65
37,17,232,1,232,2,123202,76.1,65
37,19,232,1,232,3,123203,100,65
37,21,1221,2,221,4,222104,100,65
37,23,1221,2,221,4,222104,60.4,65
37,25,231,1,231,1,123101,100,65
37,27,1221,2,221,4,222104,82.4,65
37,29,232,1,232,1,123201,100,65
37,31,232,1,232,3,123203,100,65
37,33,231,1,231,1,123101,100,65
37,35,231,1,231,1,123101,100,65
37,37,231,1,231,1,123101,100,65
37,39,1221,2,221,4,222104,100,65
37,41,232,1,232,1,123201,100,65
37,43,1221,2,221,4,222104,100,65
37,45,231,1,231,1,123101,100,65
37,47,232,1,232,3,123203,71.4,65
37,49,232,1,232,3,123203,100,65
37,51,232,1,232,2,123202,81.6,65
37,53,232,1,232,1,123201,100,65
37,55,232,1,232,3,123203,94.1,65
37,57,231,1,231,1,123101,100,65
