"source_file","source_line_start","source_line_end","target","statement_ordinal","literal","value","upstream_commit"
"scrib.f",43,54,"FACTOR",29,"437.499",437.499,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",30,"446.565",446.565,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",31,"455.010",455.01,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",32,"464.150",464.15,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",33,"473.430",473.43,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",34,"482.490",482.49,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",35,"491.700",491.7,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",36,"501.700",501.7,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",37,"511.700",511.7,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",38,"521.700",521.7,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",39,"531.700",531.7,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",40,"541.700",541.7,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",41,"552.499",552.499,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",42,"562.501",562.501,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",43,"573.350",573.35,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",44,"583.350",583.35,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",45,"594.150",594.15,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",46,"604.170",604.17,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",47,"615.010",615.01,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",48,"625.890",625.89,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",49,"636.660",636.66,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",50,"648.380",648.38,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",51,"660.000",660,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",52,"671.700",671.7,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",53,"683.330",683.33,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",54,"695.011",695.011,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",55,"1.249",1.249,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",56,"1.608",1.608,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",57,"1.854",1.854,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",58,"2.410",2.41,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",59,"3.542",3.542,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",60,"4.167",4.167,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",61,"1.570",1.57,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",62,"1.800",1.8,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",63,"2.200",2.2,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",64,"2.900",2.9,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",65,"3.815",3.815,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",66,"4.499",4.499,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",1,"40420.",40420,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",2,"40460.",40460,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",3,"40510.",40510,"38548071d5aa652bb90c7f111f86b427f798a1c9"
