"species","id","family","source_file","upstream_commit"
122,"200CZ3W122","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"200CZ3W202","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
746,"200CZ3W746","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"203CZ2W122","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"203CZ3W122","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
15,"500WO2W015","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
20,"500WO2W020","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
81,"500WO2W081","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
108,"500WO2W108","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
116,"500WO2W116","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
117,"500WO2W117","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"500WO2W122","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"500WO2W202","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
211,"500WO2W211","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
15,"532WO2W015","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
20,"532WO2W020","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
81,"532WO2W081","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
108,"532WO2W108","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
116,"532WO2W116","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
117,"532WO2W117","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"532WO2W122","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"532WO2W202","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
211,"532WO2W211","r5_taper","TREEVOLUME_FIXTURES/full/r5_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
