"family","output","precision","compat","rows_compared","rows_within_tolerance","max_relative_difference","tolerance","exclusions"
"flewelling_3pt","height at DIB","single","port",6930,6930,0.00126155476677238,0.002,"upper_at_or_above_total  4593, sf_hs_conditioned_root 23082"
"flewelling_3pt","stump cubic volume","double","port",3964,3964,1.04083408558608e-17,1e-12,"none"
"flewelling_3pt","stump cubic volume","single","port",3964,3964,2.56231501551724e-05,0.002,"none"
"flewelling_3pt","tip cubic volume","double","port",0,0,,1e-12,"segmentation_not_available 3964"
"flewelling_3pt","tip cubic volume","single","port",0,0,,0.002,"segmentation_not_available 3964"
"flewelling_3pt","total cubic volume","double","port",3964,3964,2.21698201485211e-16,1e-12,"invalid_conditioning 601"
"flewelling_3pt","total cubic volume","single","port",3964,3964,0.0017513536947791,0.002,"invalid_conditioning 601"
"nsvb","biomass, 30 values per row","double","port",2936,2936,1.8353205173092e-14,2e-12,"none"
"nsvb","biomass, 30 values per row","single","port",2936,2936,0.000962341307891877,0.001,"none"
"nsvb","carbon fraction","double","nvel",1,1,0,0,"none"
"nsvb","DIB","double","port",26755,26755,0,2e-04,"none"
"nsvb","DIB","single","port",26755,26755,5.85876378954011e-07,3e-04,"none"
"nsvb","DOB","double","nvel",26755,26755,0,0,"none"
"nsvb","DOB","single","nvel",26755,26755,0,0,"none"
"nsvb","height at DIB","double","port",26476,26476,0,4e-05,"above_contract_stump_diameter 279"
"nsvb","height at DIB","single","port",26476,26476,0.000203252494937583,0.002,"above_contract_stump_diameter 279"
"nsvb","stump cubic volume","double","port",2523,2523,0,1e-12,"none"
"nsvb","stump cubic volume","single","port",2523,2523,5.21354649780966e-06,0.002,"none"
"nsvb","tip cubic volume","double","port",2523,2523,0,1e-12,"none"
"nsvb","tip cubic volume","single","port",2523,2523,2.52889653748426e-05,0.002,"none"
"nsvb","total cubic volume","double","port",2523,2523,0,1e-12,"none"
"nsvb","total cubic volume","single","port",2523,2523,5.03644798444346e-07,0.002,"none"
"r1_taper","DIB","double","port",5119,5119,0,2e-12,"nonfinite_oracle 205"
"r1_taper","DIB","single","port",5119,5119,7.56783772649063e-07,3e-04,"nonfinite_oracle 205"
"r1_taper","height at DIB","double","nvel",2625,2625,9.08068633005325e-06,4e-05,"source_domain_status 1986, at_or_below_contract_stump   12"
"r1_taper","height at DIB","single","nvel",2625,2625,9.75268949906157e-06,0.002,"source_domain_status 1986, at_or_below_contract_stump   12"
"r1_taper","stump cubic volume","double","port",592,592,0,1e-12,"none"
"r1_taper","stump cubic volume","single","port",592,592,6.79716027492616e-07,0.002,"none"
"r1_taper","tip cubic volume","double","port",0,0,,1e-12,"segmentation_not_available 592"
"r1_taper","tip cubic volume","single","port",0,0,,0.002,"segmentation_not_available 592"
"r1_taper","total cubic volume","double","port",592,592,2.19982271133158e-16,1e-12,"none"
"r1_taper","total cubic volume","single","port",592,592,7.10973673858538e-08,0.002,"none"
"r10_taper","cedar equality height at DIB","double","nvel",2,2,0,1e-10,"none"
"r10_taper","cedar equality height at DIB","single","nvel",2,2,5.25307456540145e-07,0.001,"none"
"r10_taper","DIB","double","port",19499,19499,5.04925048314969e-15,1e-12,"missing_bru_dispatch 14170"
"r10_taper","DIB","single","port",19499,19499,3.07542058250475e-06,5e-06,"missing_bru_dispatch 14170"
"r10_taper","height at DIB","double","nvel",3833,3833,0,0,"outside_omitted_species 25354"
"r10_taper","height at DIB","single","nvel",3833,3833,0,0,"outside_omitted_species 25354"
"r10_taper","height at DIB","double","port",13068,13068,5.61638711644955e-12,1e-10,"missing_bru_dispatch 12286, unsupported_dispatch_species  3833"
"r10_taper","height at DIB","single","port",13068,13068,0.000954322584215777,0.001,"missing_bru_dispatch 12286, unsupported_dispatch_species  3833"
"r10_taper","stump cubic volume","double","port",994,994,9.75144722869195e-16,1e-12,"output_derived_driver_difference 2850"
"r10_taper","stump cubic volume","single","port",1700,1700,0.00107262011727846,0.002,"output_derived_driver_difference 2144"
"r10_taper","tip cubic volume","double","port",0,0,,1e-12,"segmentation_not_available 3844"
"r10_taper","tip cubic volume","single","port",0,0,,0.002,"segmentation_not_available 3844"
"r10_taper","total cubic volume","double","port",3194,3194,2.98595765692508e-16,1e-12,"missing_bru_dispatch 650"
"r10_taper","total cubic volume","single","port",3194,3194,2.84030414174749e-07,0.002,"missing_bru_dispatch 650"
"r12_taper","DIB","double","port",3547,3547,0,2e-12,"none"
"r12_taper","DIB","single","port",3547,3547,9.27193167451651e-08,3e-04,"none"
"r12_taper","height at DIB","double","nvel",3074,3074,0,4e-05,"none"
"r12_taper","height at DIB","single","nvel",3074,3074,0,0.002,"none"
"r12_taper","stump cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 395"
"r12_taper","stump cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 395"
"r12_taper","tip cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 395"
"r12_taper","tip cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 395"
"r12_taper","total cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 395"
"r12_taper","total cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 395"
"r2_taper","DIB","double","port",7075,7075,2.62679376748064e-15,2e-12,"nonzero_errflag 7086"
"r2_taper","DIB","single","port",7075,7075,3.16317089926734e-07,3e-04,"nonzero_errflag 7086"
"r2_taper","height at DIB","double","nvel",6150,6150,0,4e-05,"nonzero_errflag 6147"
"r2_taper","height at DIB","single","nvel",6150,6150,4.93827137492148e-08,0.002,"nonzero_errflag 6147"
"r2_taper","stump cubic volume","double","port",804,804,0,1e-12,"library_nonzero_errflag 808"
"r2_taper","stump cubic volume","single","port",804,804,3.25602926426999e-07,0.002,"library_nonzero_errflag 808"
"r2_taper","tip cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 808, segmentation_not_available 804"
"r2_taper","tip cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 808, segmentation_not_available 804"
"r2_taper","total cubic volume","double","port",804,804,2.21698201485211e-16,1e-12,"library_nonzero_errflag 808"
"r2_taper","total cubic volume","single","port",804,804,7.16510851607109e-08,0.002,"library_nonzero_errflag 808"
"r4_driver","DIB","double","port",17678,17678,1.25844065748461e-15,1e-12,"none"
"r4_driver","DIB","single","port",17678,17678,1.15081889181225e-06,5e-06,"none"
"r4_driver","height at DIB","double","port",15211,15211,4.80366822327387e-12,1e-10,"zero_outside_contract 125"
"r4_driver","height at DIB","single","port",15209,15209,0.000148745538620345,0.001,"zero_outside_contract 125, nonfinite_oracle   2"
"r4_driver","stump cubic volume","double","port",2012,2012,0,1e-12,"none"
"r4_driver","stump cubic volume","single","port",2012,2012,3.14229748775882e-07,0.002,"none"
"r4_driver","tip cubic volume","double","port",0,0,,1e-12,"segmentation_not_available 2012"
"r4_driver","tip cubic volume","single","port",0,0,,0.002,"segmentation_not_available 2012"
"r4_driver","total cubic volume","double","port",2012,2012,3.70490026364041e-16,1e-12,"none"
"r4_driver","total cubic volume","single","port",2012,2012,3.79892190016599e-07,0.002,"none"
"r5_taper","DIB","double","port",15950,15950,0,2e-12,"nonfinite_oracle 20"
"r5_taper","DIB","single","port",15950,15950,2.34052820140112e-06,3e-04,"nonfinite_oracle 20"
"r5_taper","height at DIB","double","nvel",13856,13856,0,4e-05,"none"
"r5_taper","height at DIB","single","nvel",13856,13856,4.93827137492148e-08,0.002,"none"
"r5_taper","stump cubic volume","double","port",1810,1810,0,1e-12,"none"
"r5_taper","stump cubic volume","single","port",1810,1810,1.4499107007927e-07,0.002,"none"
"r5_taper","tip cubic volume","double","port",0,0,,1e-12,"segmentation_not_available 1810"
"r5_taper","tip cubic volume","single","port",0,0,,0.002,"segmentation_not_available 1810"
"r5_taper","total cubic volume","double","port",1810,1810,2.20836903111142e-16,1e-12,"none"
"r5_taper","total cubic volume","single","port",1810,1810,7.05521422143064e-08,0.002,"none"
