"family","source_file","source_line_start","source_line_end","target","ordinal","literal","value_numeric","upstream_commit"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",5,"1.1152",1.1152,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",6,"0.5405",0.5405,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",7,"1.2552",1.2552,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",8,"0.4302",0.4302,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",9,"0.4727",0.4727,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",10,"2.0461",2.0461,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",11,"0.6294",0.6294,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",12,"1.2467",1.2467,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",13,"0.5334",0.5334,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",14,"0.5301",0.5301,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",15,"0.8315",0.8315,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",16,"0.5028",0.5028,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",17,"0.7572",0.7572,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",18,"0.6310",0.631,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",19,"0.4850",0.485,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",20,"0.6076",0.6076,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",21,"-0.0636",-0.0636,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",22,"-0.3956",-0.3956,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",23,"-0.7237",-0.7237,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",24,"-0.2800",-0.28,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",25,"-0.3678",-0.3678,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",26,"-0.5908",-0.5908,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",27,"-0.1727",-0.1727,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",28,"-0.5229",-0.5229,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",29,"-0.0508",-0.0508,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",30,"-0.5080",-0.508,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",31,"-0.0939",-0.0939,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",32,"-0.1615",-0.1615,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",33,"-0.0071",-0.0071,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",34,"0.2327",0.2327,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",35,"0.0967",0.0967,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",36,"-0.0942",-0.0942,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",37,"-0.4527",-0.4527,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",38,"-0.1026",-0.1026,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",39,"-0.3636",-0.3636,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",40,"-0.1730",-0.173,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",41,"0.9900",0.99,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",42,"1.2756",1.2756,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",43,"1.6343",1.6343,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",44,"1.0264",1.0264,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",45,"0.9828",0.9828,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",46,"1.3374",1.3374,"38548071d5aa652bb90c7f111f86b427f798a1c9"
